PAGE_ID	PAGE_NAME	PAGE_URL	IS_ROUTE
469	Slick and the 9mm	/v/slick-and-the-9mm/106577353	true
470	Slut Men	/v/slut-men/109644830	true
471	Sojourner Truth	/v/sojourner-truth/109481550	true
472	Spank	/v/spank/106615729	true
473	Spirit Fingers	/v/spirit-fingers/106081940	true
474	Thug Life	/v/thug-life/109788732	true
475	Whip-Stocking	/v/whip-stocking/106081917	true
476	Whipper Snapper	/v/whipper-snapper/106081913	true
477	Yadda Yadda Yadda	/v/yadda-yadda-yadda/106260100	true
478	American Dream	/v/american-dream/106324532	true
479	Barn Dance	/v/barn-dance/108943392	true
480	Big Burly	/v/big-burly/107389029	true
481	Count Dooku	/v/count-dooku/110429174	true
482	Dagobah	/v/dagobah/111840469	true
483	Elephant Man	/v/elephant-man/107285975	true
484	Evil Emperor	/v/evil-emperor/107941228	true
485	Force, The	/v/the-force/106584648	true
486	Grippy Green	/v/grippy-green/108383625	true
487	It's a Trap!	/v/its-a-trap/107941251	true
488	Mama Benson	/v/mama-benson/106324389	true
489	Mind Meld	/v/mind-meld/107055917	true
490	Padawan	/v/padawan/106324468	true
491	Phantom Menace	/v/phantom-menace/111309857	true
492	Praestantissimum	/v/praestantissimum/107900437	true
493	Return of Darth Moll	/v/return-of-darth-moll/107285945	true
494	Shanghai	/v/shanghai/106324515	true
495	Small Fry	/v/small-fry/106962365	true
496	Stormtrooper	/v/stormtrooper/107941233	true
497	Straight Outta Campton	/v/straight-outta-campton/107059702	true
498	Swing Line	/v/swing-line/107083640	true
499	Techulicious	/v/techulicious/107055923	true
500	Tusken Raider	/v/tusken-raider/107055911	true
501	Wookie Love Nest	/v/wookie-love-nest/107941237	true
502	Young Jedi	/v/young-jedi/107791090	true
503	Action over Apathy	/v/action-over-apathy/109641623	true
504	Ankle Brute	/v/ankle-brute/111608435	true
505	Conscription	/v/conscription/106782169	true
506	Curbside No Traction	/v/curbside-no-traction/111234838	true
507	Ghost in the Machine	/v/ghost-in-the-machine/106782196	true
508	Massive Attack	/v/massive-attack/109053849	true
509	Return of Frank Byron, The	/v/the-return-of-frank-byron/112064967	true
510	Second Labor of Hercules, The	/v/the-second-labor-of-hercules/106125052	true
511	Single Finger Salute	/v/single-finger-salute/108400396	true
512	Subtle Thievery	/v/subtle-thievery/111758881	true
513	Sudoku	/v/sudoku/109641602	true
